ADDR_PCT_CD,total_weight,total_incidents,Latitude,Longitude,PCA1,PCA2,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster,CLUSTER_MEAN_WEIGHT,SAFETY_SCORE_0_100,KMEANS_SAFETY_LABEL
1.0,140688,26759,40.71153877820539,-74.00206788432924,0.6028726408646986,-0.02720605566946393,2,0,2,118355.14705882352,61.508994100852746,Moderate
5.0,76517,14409,40.71802378235419,-73.99653641618809,-1.2887840661148522,-0.050531278018616364,1,0,1,72680.80769230769,100.0,Safest
6.0,119747,21384,40.73334345763512,-74.00035903217234,-0.11869657116505584,-0.1390803958779102,2,0,2,118355.14705882352,61.508994100852746,Moderate
7.0,97959,18962,40.716715559112124,-73.98598209723693,-0.6236509327485565,-0.009679575414581112,2,0,1,118355.14705882352,61.508994100852746,Moderate
9.0,111507,20644,40.72649418471514,-73.98404752873336,-0.296021838407604,-0.07649898512955156,2,0,2,118355.14705882352,61.508994100852746,Moderate
10.0,78125,14739,40.74901900051117,-74.00013014010877,-1.2397909172649817,-0.04835486924269957,1,0,1,72680.80769230769,100.0,Safest
13.0,132181,24877,40.73953749514339,-73.98676849849684,0.3331216954408754,-0.04927664797816047,2,0,2,118355.14705882352,61.508994100852746,Moderate
14.0,230386,41267,40.75256672517167,-73.98833629627303,3.0334461696910275,-0.20817976014754752,0,0,0,191343.17647058822,0.0,Riskiest
17.0,74031,14032,40.75225519729463,-73.97188145125463,-1.3542025435831397,-0.0435701436561524,1,0,1,72680.80769230769,100.0,Safest
18.0,150568,28337,40.76253401367243,-73.9837697179563,0.8690419486121111,-0.04869184240629398,2,0,0,118355.14705882352,61.508994100852746,Moderate
19.0,164105,30524,40.77311206283377,-73.95659261827065,1.235663375615486,-0.07619865568967929,0,0,0,191343.17647058822,0.0,Riskiest
20.0,79314,14900,40.778298009879286,-73.98123176258419,-1.209999845410766,-0.053181399346152444,1,0,1,72680.80769230769,100.0,Safest
22.0,5227,987,40.780580632922,-73.96714181993761,-3.367186983632137,-0.053333822481077306,1,0,1,72680.80769230769,100.0,Safest
23.0,105867,20884,40.79153300112702,-73.94499367471556,-0.3595187110017345,0.024212111192424147,2,0,2,118355.14705882352,61.508994100852746,Moderate
24.0,91071,17440,40.79516849548349,-73.96877714884084,-0.8419227084549378,-0.02740800184895188,1,0,1,72680.80769230769,100.0,Safest
25.0,141646,25939,40.80137212503225,-73.9369221504953,0.5532443733989231,-0.10472638594049294,2,0,2,118355.14705882352,61.508994100852746,Moderate
26.0,56281,10649,40.81244945679711,-73.95763477852547,-1.874879923169704,-0.047458259366673486,1,0,1,72680.80769230769,100.0,Safest
28.0,96076,18202,40.805181599694116,-73.95017093937102,-0.7099851208024878,-0.041190429165493196,1,0,1,72680.80769230769,100.0,Safest
30.0,78723,15349,40.825289122984266,-73.94906461594205,-1.1837924897339096,-0.009767144798831682,1,0,1,72680.80769230769,100.0,Safest
32.0,111903,21665,40.819026842342076,-73.94140173232202,-0.21109933550823945,-0.0031059779200412036,2,0,1,118355.14705882352,61.508994100852746,Moderate
33.0,91311,17394,40.84091488399696,-73.93958759445066,-0.8419952849895065,-0.03446815152888683,1,0,1,72680.80769230769,100.0,Safest
34.0,113525,21572,40.8583737248841,-73.92816056852868,-0.1946974171017928,-0.0339284080210279,2,0,2,118355.14705882352,61.508994100852746,Moderate
40.0,224572,42423,40.81361615377443,-73.91725301875314,3.038433445445673,-0.033918524946405466,0,0,0,191343.17647058822,0.0,Riskiest
41.0,112250,20961,40.81879003153179,-73.89296794153837,-0.2606287638894081,-0.0627382724738852,2,0,2,118355.14705882352,61.508994100852746,Moderate
42.0,166189,32428,40.83111748207453,-73.89988145823065,1.4136175098087371,0.041080051691308545,0,0,0,191343.17647058822,0.0,Riskiest
43.0,216907,41343,40.827531637291116,-73.86494206811797,2.843118633392954,-0.006067719668990408,0,0,0,191343.17647058822,0.0,Riskiest
44.0,223620,41913,40.83406341735404,-73.91979795843865,2.9850346459965276,-0.05959995091893153,0,0,0,191343.17647058822,0.0,Riskiest
45.0,109923,21741,40.84325278059931,-73.82893273727426,-0.23403082264263297,0.031610013394836614,2,0,2,118355.14705882352,61.508994100852746,Moderate
46.0,179929,35126,40.85308276280968,-73.90700982960634,1.822811740298442,0.05023571960879726,0,0,0,191343.17647058822,0.0,Riskiest
47.0,192572,37351,40.885519348851396,-73.85305454147573,2.179364938363694,0.038689387353777784,0,0,0,191343.17647058822,0.0,Riskiest
48.0,151989,29190,40.84920268867807,-73.88867851783127,0.9558608533608974,-0.003245193655696911,2,0,0,118355.14705882352,61.508994100852746,Moderate
49.0,123953,24065,40.85762605108462,-73.85892951997495,0.15038898396778452,0.007547939882387264,2,0,2,118355.14705882352,61.508994100852746,Moderate
50.0,93472,18169,40.88267803037406,-73.90389181648027,-0.7504511829973889,-0.005841322733170862,1,0,1,72680.80769230769,100.0,Safest
52.0,182127,34125,40.86923179563928,-73.8917840450803,1.7772018399274876,-0.05936870481846938,0,0,0,191343.17647058822,0.0,Riskiest
60.0,109078,21304,40.57935932595772,-73.98067806018703,-0.28021231238618044,0.010030604100599283,2,0,1,118355.14705882352,61.508994100852746,Moderate
61.0,102224,19463,40.59615178441161,-73.9518514446123,-0.5227210878472287,-0.032924728284032055,2,0,1,118355.14705882352,61.508994100852746,Moderate
62.0,109831,22197,40.60730549290784,-73.99295698510706,-0.20001659495404187,0.06830281078915144,2,0,2,118355.14705882352,61.508994100852746,Moderate
63.0,82704,16675,40.62194277243245,-73.9260237412442,-1.0230350119113563,0.035083963474959755,1,0,1,72680.80769230769,100.0,Safest
66.0,83370,16374,40.63397846208329,-73.9861743039257,-1.0366761736348302,0.0020522862730944606,1,0,1,72680.80769230769,100.0,Safest
67.0,155400,31258,40.650448553430024,-73.93500762769385,1.1658475755859559,0.10743064524084436,0,0,0,191343.17647058822,0.0,Riskiest
68.0,86715,17513,40.62680682350202,-74.02219178689109,-0.8996752715571931,0.04166388763718972,1,0,2,72680.80769230769,100.0,Safest
69.0,70374,14657,40.640360610324585,-73.90020929865481,-1.3589830960054337,0.058122449724071684,1,0,2,72680.80769230769,100.0,Safest
70.0,123967,24322,40.63737286331959,-73.95885595296751,0.17051790380547482,0.02726925128659788,2,0,2,118355.14705882352,61.508994100852746,Moderate
71.0,105910,21738,40.662994748516326,-73.94658449976752,-0.29268243452500414,0.08979644748060973,2,0,2,118355.14705882352,61.508994100852746,Moderate
72.0,104404,20031,40.64891898207761,-74.00580086184277,-0.4469490284007402,-0.020623124907953417,2,0,1,118355.14705882352,61.508994100852746,Moderate
73.0,158951,31566,40.66926614912183,-73.91063848642979,1.241420186309647,0.07961628830122122,0,0,0,191343.17647058822,0.0,Riskiest
75.0,285187,54368,40.6682828397007,-73.8817738543843,4.846924380102933,0.009773467184299086,0,-1,0,191343.17647058822,0.0,Riskiest
76.0,42087,8172,40.679790148743365,-74.00033040158424,-2.273549184418039,-0.03287079884280795,1,0,1,72680.80769230769,100.0,Safest
77.0,101489,20000,40.67347678708204,-73.94103234975347,-0.49178739643054387,0.01940840589033682,2,0,1,118355.14705882352,61.508994100852746,Moderate
78.0,78191,15092,40.67621334441175,-73.97987100625056,-1.2114621655909743,-0.021947700183667908,1,0,1,72680.80769230769,100.0,Safest
79.0,134905,26766,40.689064579140485,-73.94840666096451,0.5192296493364529,0.05752235071751056,2,0,0,118355.14705882352,61.508994100852746,Moderate
81.0,92694,17815,40.68649613902895,-73.92921538055415,-0.7892223644697891,-0.02196112125934225,1,0,1,72680.80769230769,100.0,Safest
83.0,130953,24830,40.696371421618935,-73.91985426380631,0.31160126140396194,-0.03504399942128338,2,0,2,118355.14705882352,61.508994100852746,Moderate
84.0,98638,19074,40.69240906505957,-73.98651697575124,-0.6050831093668434,-0.010880761056633185,2,0,1,118355.14705882352,61.508994100852746,Moderate
88.0,70084,13916,40.69065598007143,-73.97216896906936,-1.4206542126606199,0.004894650619536017,1,0,1,72680.80769230769,100.0,Safest
90.0,112511,21616,40.70775931071166,-73.94835553182264,-0.20604736152965977,-0.015755855909722623,2,0,1,118355.14705882352,61.508994100852746,Moderate
94.0,79083,15071,40.72296779157044,-73.95197802661322,-1.2001050477839286,-0.03656106256690013,1,0,1,72680.80769230769,100.0,Safest
100.0,45422,9310,40.586878479798706,-73.81751709281033,-2.1367713864136966,0.006808847329049582,1,0,1,72680.80769230769,100.0,Safest
101.0,74210,15258,40.59972582516939,-73.76134433606956,-1.2565454313261424,0.04887540362992625,1,0,2,72680.80769230769,100.0,Safest
102.0,110556,22036,40.69393445163696,-73.84001562923997,-0.2019447188911097,0.04526639297545646,2,0,2,118355.14705882352,61.508994100852746,Moderate
103.0,162771,30411,40.703319251753435,-73.79324115270093,1.2074828967463922,-0.0655398738257792,0,0,0,191343.17647058822,0.0,Riskiest
104.0,123692,23996,40.709702404058795,-73.89555682202972,0.1412399464091139,0.005997888119302396,2,0,2,118355.14705882352,61.508994100852746,Moderate
105.0,142461,29118,40.69691659611326,-73.74073382940784,0.8115753928662012,0.12987599972064579,2,0,0,118355.14705882352,61.508994100852746,Moderate
106.0,117065,22954,40.67636286457431,-73.82882939242407,-0.03601811267162919,0.02168419251498401,2,0,2,118355.14705882352,61.508994100852746,Moderate
107.0,109082,21453,40.72320263896467,-73.80261119268869,-0.2686021673277838,0.02152428960657318,2,0,2,118355.14705882352,61.508994100852746,Moderate
108.0,115412,22825,40.743594194470234,-73.92303559136296,-0.07008289031784251,0.03574632490748051,2,0,2,118355.14705882352,61.508994100852746,Moderate
109.0,187440,35929,40.76541794288842,-73.8242512518906,1.9944089976907449,0.0031510524392433107,0,0,0,191343.17647058822,0.0,Riskiest
110.0,170841,32098,40.742136868857486,-73.86998740921942,1.4557539607296845,-0.05222595685542594,0,0,0,191343.17647058822,0.0,Riskiest
111.0,64201,12316,40.75615507274324,-73.76528979885998,-1.6303430684496656,-0.03351131844372011,1,0,1,72680.80769230769,100.0,Safest
112.0,76357,15203,40.72464205902157,-73.85195743935276,-1.2295547287468302,0.013356441446316356,1,0,1,72680.80769230769,100.0,Safest
113.0,128517,26083,40.68299560113069,-73.77622281076759,0.37328395754745763,0.09756256414767951,2,0,0,118355.14705882352,61.508994100852746,Moderate
114.0,187986,37775,40.76341503429845,-73.92297540344882,2.1454770642302705,0.1383223900730606,0,0,0,191343.17647058822,0.0,Riskiest
115.0,163851,31667,40.75513987714331,-73.87658217887628,1.3205821550779946,0.016115305351675126,0,0,0,191343.17647058822,0.0,Riskiest
120.0,122103,25650,40.629321368343746,-74.08977006235835,0.24634218040467445,0.15736367931480855,2,0,0,118355.14705882352,61.508994100852746,Moderate
121.0,97571,20662,40.61655259898189,-74.153773928385,-0.49749884533827576,0.12776908858070848,2,0,2,118355.14705882352,61.508994100852746,Moderate
122.0,82552,17477,40.57747045306209,-74.1095872602836,-0.9630689779287807,0.09947546044960036,1,0,2,72680.80769230769,100.0,Safest
123.0,41509,8787,40.53501485139696,-74.20591840615535,-2.2342826629292825,0.023224127971038865,1,0,1,72680.80769230769,100.0,Safest
